for alpha = 0.2

Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 242 | GT Points: 236
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 0.682594% | Precision: 0.716846% | Corresp: 279 | GT Points: 293
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 2.03252% | Precision: 3.14465% | Corresp: 159 | GT Points: 246
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 164 | GT Points: 142
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 191 | GT Points: 283
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Recall: 0.456621% | Precision: 0.877193% | Corresp: 228 | GT Points: 438
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 198 | GT Points: 415
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 186 | GT Points: 317
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 209 | GT Points: 287
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 165 | GT Points: 306
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 165 | GT Points: 538
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 1.44% | Precision: 4.8913% | Corresp: 184 | GT Points: 625
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 2.98701% | Precision: 7.66667% | Corresp: 300 | GT Points: 770
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 7.94393% | Precision: 23.9437% | Corresp: 284 | GT Points: 856
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 258 | GT Points: 115
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 189 | GT Points: 306
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 231 | GT Points: 598
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 0.436681% | Precision: 1.34529% | Corresp: 223 | GT Points: 687
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 154 | GT Points: 402
