Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 18.1818% | Matches: 11 | Time: 297ms
 | ICP refinement score 0.000653588Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 60% | Matches: 10 | Time: 279ms
 | ICP refinement score 0.000199064Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 44.4444% | Matches: 9 | Time: 258ms
 | ICP refinement score 0.000305151Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 10 | Time: 264ms
 | ICP refinement score 0.000188957Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 11.1111% | Matches: 9 | Time: 290ms
 | ICP refinement score 0.000450456Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 40% | Matches: 10 | Time: 280ms
 | ICP refinement score 0.000555868Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 69.2308% | Matches: 13 | Time: 291ms
 | ICP refinement score 0.000390614Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 100% | Matches: 11 | Time: 285ms
 | ICP refinement score 0.000645283Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 25% | Matches: 8 | Time: 274ms
 | ICP refinement score 0.000177396Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 100% | Matches: 9 | Time: 263ms
 | ICP refinement score 0.00052655Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 53.8462% | Matches: 13 | Time: 269ms
 | ICP refinement score 0.000371348Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 20% | Matches: 10 | Time: 294ms
 | ICP refinement score 0.000389217Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 264ms
 | ICP refinement score 0.000443294Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 16 | Time: 291ms
 | ICP refinement score 0.000229947Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 83.3333% | Matches: 12 | Time: 281ms
 | ICP refinement score 0.000263333Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 268ms
 | ICP refinement score 0.000286017Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 33.3333% | Matches: 9 | Time: 274ms
 | ICP refinement score 0.000706383Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 11 | Time: 289ms
 | ICP refinement score 0.000260424Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 27.2727% | Matches: 11 | Time: 298ms
 | ICP refinement score 0.000857863Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 16.6667% | Matches: 6 | Time: 292ms
 | ICP refinement score 0.000473754Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 289ms
 | ICP refinement score 0.00137941Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 58.8235% | Matches: 17 | Time: 285ms
 | ICP refinement score 0.00143484Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 100% | Matches: 8 | Time: 268ms
 | ICP refinement score 0.000370826Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 282ms
 | ICP refinement score 0.00057737Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 92.3077% | Matches: 13 | Time: 300ms
 | ICP refinement score 0.000752083Scene: ../kinect/scenes/scene003.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 85.7143% | Matches: 7 | Time: 277ms
 | ICP refinement score 0.000273346Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 10 | Time: 291ms
 | ICP refinement score 0.000350609Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 294ms
 | ICP refinement score 0.000347074Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 0% | Matches: 8 | Time: 273ms
 | ICP refinement score 0.000215469Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 90.9091% | Matches: 11 | Time: 274ms
 | ICP refinement score 0.000188356Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 23.0769% | Matches: 13 | Time: 297ms
 | ICP refinement score 0.000444027Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 0% | Matches: 8 | Time: 317ms
 | ICP refinement score 0.000635646Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 36.3636% | Matches: 11 | Time: 306ms
 | ICP refinement score 0.000863756Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 62.5% | Matches: 8 | Time: 295ms
 | ICP refinement score 0.000183946Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 7 | Time: 290ms
 | ICP refinement score 0.00026094Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 0% | Matches: 6 | Time: 277ms
 | ICP refinement score 0.000149384Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 325ms
