Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 45.4545% | Matches: 11 | Time: 402ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Precision: 100% | Matches: 9 | Time: 385ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Precision: 0% | Matches: 9 | Time: 380ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Precision: 69.2308% | Matches: 13 | Time: 351ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Precision: 100% | Matches: 9 | Time: 354ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Precision: 0% | Matches: 11 | Time: 416ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Precision: 100% | Matches: 8 | Time: 359ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Precision: 90% | Matches: 10 | Time: 369ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Precision: 0% | Matches: 9 | Time: 380ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Precision: 0% | Matches: 8 | Time: 371ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Precision: 20% | Matches: 10 | Time: 397ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 100% | Matches: 10 | Time: 365ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 10% | Matches: 10 | Time: 374ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 0% | Matches: 10 | Time: 397ms
Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 7.69231% | Matches: 13 | Time: 412ms
Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 36.3636% | Matches: 11 | Time: 439ms
