object_name,scene_file,model_file,object_keypoints,scene_keypoints,initial_matches,inliers,correct_matches,precision,recall,icp_score,processing_time_ms,transformation_matrix
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario000.ply.pcd,292,3899,284,11,2,0.181818,1,0.000653588,372,"-0.664641,-0.554748,-0.500511,0.488301,-0.693339,0.208274,0.68986,-0.806537,-0.278455,0.805532,-0.523054,1.46746,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario001.ply.pcd,288,3899,255,10,6,0.6,1,0.000199064,350,"0.678963,0.556401,-0.478988,0.398878,-0.093005,0.712344,0.695639,-0.698399,0.728258,-0.427766,0.535405,0.292899,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario002.ply.pcd,248,3899,193,9,4,0.444444,1,0.000305151,331,"-0.759267,-0.63211,-0.15478,0.017458,-0.578747,0.764611,-0.283603,0.384199,0.297612,-0.12575,-0.946371,1.8303,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario003.ply.pcd,232,3899,232,10,0,0,1,0.000188957,338,"0.618342,-0.677139,0.39894,-0.365792,0.72042,0.691232,0.0566387,-0.0850979,-0.31411,0.252378,0.915238,-0.0519327,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario004.ply.pcd,303,3899,268,9,1,0.111111,1,0.000450456,368,"0.774919,-0.154789,-0.612816,0.482062,0.47314,0.784934,0.400032,-0.324074,0.419097,-0.599939,0.681493,0.108523,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario005.ply.pcd,289,3899,259,10,4,0.4,1,0.000555868,357,"0.418978,-0.265324,-0.868368,0.96615,-0.890525,0.0666368,-0.450029,0.369165,0.177269,0.961853,-0.20836,1.11073,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario006.ply.pcd,295,3899,275,13,9,0.692308,1,0.000390614,360,"0.73378,0.440941,0.516856,-0.596301,0.671748,-0.584653,-0.454905,0.4787,0.101596,0.680998,-0.72521,1.64253,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario007.ply.pcd,275,3899,261,11,11,1,1,0.000645283,396,"-0.657376,-0.72019,-0.221777,0.314327,0.59647,-0.317433,-0.737199,0.659643,0.460522,-0.616898,0.638246,0.202238,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario008.ply.pcd,279,3899,273,8,2,0.25,1,0.000177396,387,"0.154249,0.966866,0.203413,-0.2136,-0.874823,0.0379573,0.482957,-0.343831,0.459234,-0.252446,0.851692,-0.220986,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario009.ply.pcd,232,3899,212,9,9,1,1,0.00052655,345,"0.980684,-0.184017,0.0663027,-0.630843,0.184167,0.982886,0.0038815,-0.267129,-0.0658793,0.00840382,0.997795,0.163099,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario010.ply.pcd,268,3899,240,13,7,0.538462,1,0.000371348,356,"0.66445,0.540141,0.516476,-0.525398,0.477749,-0.838443,0.262232,-0.500611,0.574682,0.0725072,-0.81516,2.04788,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario011.ply.pcd,317,3899,295,10,2,0.2,1,0.000389217,385,"-0.357013,0.711174,0.605622,-0.675735,-0.862201,-0.00144598,-0.506568,0.532409,-0.359382,-0.703019,0.613691,0.117356,0,0,0,1"
Mario,../kinect/scenes/scene001.ply.pcd,../kinect/objects/mario/mario013.ply.pcd,240,3899,210,8,7,0.875,1,0.000443294,354,"0.85499,-0.356374,-0.376837,0.524388,0.429631,0.893662,0.129637,-0.0961989,0.290557,-0.272738,0.917172,-0.147389,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario000.ply.pcd,295,3995,290,16,16,1,1,0.000229947,398,"0.938249,-0.1812,-0.294728,0.414129,0.286896,0.883599,0.370067,-0.419139,0.193364,-0.431769,0.881016,0.0417943,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario001.ply.pcd,297,3995,270,12,10,0.833333,1,0.000263333,377,"0.756494,0.275271,-0.593249,0.793277,-0.109,0.947492,0.30065,-0.368017,0.644855,-0.162774,0.746774,0.237987,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario002.ply.pcd,249,3995,193,9,6,0.666667,1,0.000286017,362,"-0.540302,-0.763732,-0.353261,0.326096,-0.790815,0.317394,0.523335,-0.637031,-0.287563,0.56212,-0.775455,1.82244,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario003.ply.pcd,236,3995,235,9,3,0.333333,1,0.000706383,366,"0.979346,0.136918,-0.14881,0.368173,-0.197227,0.484277,-0.852401,0.81484,-0.0446427,0.864141,0.501276,0.595659,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario004.ply.pcd,310,3995,272,11,11,1,1,0.000260424,389,"0.85523,0.306322,-0.418041,0.368041,-0.15597,0.921363,0.356052,-0.377317,0.494232,-0.239303,0.835751,0.101033,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario005.ply.pcd,317,3995,293,11,3,0.272727,1,0.000857863,399,"0.116354,-0.711018,0.693486,-0.597748,-0.961297,0.0949541,0.258647,-0.367568,-0.24975,-0.696737,-0.672449,1.72449,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario006.ply.pcd,283,3995,267,6,1,0.166667,1,0.000473754,418,"0.27287,-0.539459,-0.796575,0.956353,-0.827292,-0.554203,0.0919264,-0.281095,-0.491053,0.633915,-0.597514,1.62236,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario007.ply.pcd,268,3995,247,9,2,0.222222,1,0.00137941,418,"0.296928,-0.571371,0.765097,-0.647451,-0.952877,-0.229447,0.198453,-0.40122,0.062159,-0.787966,-0.612574,1.64922,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario008.ply.pcd,262,3995,255,17,10,0.588235,1,0.00143484,409,"-0.0414113,-0.753338,-0.656334,0.76108,0.855801,-0.365766,0.365826,-0.496121,-0.515656,-0.546538,0.659851,0.416282,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario009.ply.pcd,238,3995,218,8,8,1,1,0.000370826,373,"-0.250452,0.920348,-0.300406,0.449061,-0.914454,-0.123,0.385556,-0.503021,0.317893,0.37127,0.872415,0.137351,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario010.ply.pcd,271,3995,245,8,7,0.875,1,0.00057737,374,"0.449691,0.57253,0.68556,-0.509564,-0.772649,0.634422,-0.0230031,-0.123673,-0.448101,-0.519351,0.727656,0.158253,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario011.ply.pcd,315,3995,295,13,12,0.923077,1,0.000752083,402,"0.421852,0.620218,-0.661351,0.911559,-0.337036,0.78443,0.520661,-0.635664,0.841703,0.0032571,0.539948,0.458409,0,0,0,1"
Mario,../kinect/scenes/scene003.ply.pcd,../kinect/objects/mario/mario013.ply.pcd,249,3995,215,7,6,0.857143,1,0.000273346,372,"-0.31954,-0.146643,-0.936162,0.825302,-0.691381,-0.639529,0.336168,-0.45552,-0.647991,0.754659,0.102967,0.885418,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario000.ply.pcd,290,4078,273,10,10,1,1,0.000350609,402,"0.0476356,-0.88803,-0.457316,0.442098,-0.934287,-0.201562,0.29408,-0.726312,-0.353329,0.413254,-0.839274,2.01892,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario001.ply.pcd,304,4078,272,9,5,0.555556,1,0.000347074,386,"-0.766849,0.0385062,0.640671,-0.444076,-0.478371,-0.699789,-0.530528,0.413348,0.427908,-0.713315,0.555054,0.349164,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario002.ply.pcd,248,4078,194,8,0,0,1,0.000215469,365,"-0.167704,-0.928397,-0.331606,0.150965,0.759714,-0.33607,0.556683,-0.494827,-0.628264,-0.158567,0.761675,0.0612985,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario003.ply.pcd,236,4078,234,11,10,0.909091,1,0.000188356,363,"0.361497,0.903638,0.229707,-0.287275,-0.915196,0.390977,-0.0977853,0.311476,-0.178172,-0.174876,0.968336,-0.350891,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario004.ply.pcd,303,4078,273,13,3,0.230769,1,0.000444027,416,"-0.857174,0.309899,-0.411367,0.216528,0.225107,0.943818,0.241955,-0.356034,0.463234,0.114795,-0.878772,1.92373,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario005.ply.pcd,330,4078,301,8,0,0,1,0.000635646,436,"-0.699259,-0.661477,-0.271085,0.327699,-0.591127,0.748281,-0.30108,0.321746,0.402004,-0.0502877,-0.914259,1.86089,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario006.ply.pcd,291,4078,271,11,4,0.363636,1,0.000863756,416,"0.402209,0.735851,-0.544754,0.930998,-0.847383,0.524488,0.0828243,-0.189887,0.346663,0.428303,0.834499,0.179232,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario007.ply.pcd,280,4078,254,8,5,0.625,1,0.000183946,417,"-0.931103,-0.0668617,0.358577,-0.57904,0.0563453,-0.997624,-0.0397102,-0.135179,0.360381,-0.0167696,0.932658,0.0794534,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario008.ply.pcd,261,4078,245,7,0,0,1,0.00026094,425,"0.403147,0.861961,0.307413,-0.0798602,0.915136,-0.380311,-0.133773,0.0558182,0.00160515,0.335254,-0.942129,1.91155,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario009.ply.pcd,222,4078,199,6,0,0,1,0.000149384,385,"-0.600462,-0.487633,0.633773,-0.682105,-0.793226,0.463539,-0.394882,0.496515,-0.10122,-0.739836,-0.665139,1.43228,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario010.ply.pcd,281,4078,247,9,2,0.222222,1,0.000301486,387,"0.804471,-0.480847,0.348741,-0.170342,0.411368,0.874531,0.256869,-0.27468,-0.428497,-0.0631811,0.901332,0.0176329,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario011.ply.pcd,322,4078,306,7,0,0,1,0.000550963,404,"-0.831774,0.0456338,0.553238,-0.725071,0.223203,-0.885014,0.408575,-0.558126,0.508268,0.463327,0.725945,0.352699,0,0,0,1"
Mario,../kinect/scenes/scene006.ply.pcd,../kinect/objects/mario/mario013.ply.pcd,240,4078,209,9,0,0,1,0.000416083,371,"0.0918619,0.790756,-0.60521,0.59656,-0.847887,-0.256592,-0.463952,0.495673,-0.522162,0.555766,0.646896,0.219535,0,0,0,1"
